
Interface: 192.168.68.106 --- 0x6
  Internet Address      Physical Address      Type
  192.168.68.1          5c-e9-31-5c-d5-4c     dynamic   
  192.168.68.50         74-d8-3e-9a-d1-02     dynamic   
  192.168.68.53         4c-03-4f-f9-47-3c     dynamic   
  192.168.68.55         74-97-79-e4-c0-9d     dynamic   
  192.168.68.57         f6-dc-6e-9a-5e-e0     dynamic   
  192.168.68.59         50-c2-e8-2e-59-9f     dynamic   
  192.168.68.63         72-9e-c3-14-b6-52     dynamic   
  192.168.68.66         f8-89-d2-ee-3c-f1     dynamic   
  192.168.68.68         dc-46-28-ff-2f-ad     dynamic   
  192.168.68.77         44-af-28-eb-e8-12     dynamic   
  192.168.68.78         2c-33-58-4b-9c-f9     dynamic   
  192.168.68.80         50-28-4a-3f-cb-c7     dynamic   
  192.168.68.86         dc-46-28-ff-4c-95     dynamic   
  192.168.68.87         22-5a-6d-2e-20-db     dynamic   
  192.168.68.88         40-1a-58-09-53-b1     dynamic   
  192.168.68.92         50-c2-e8-2e-5d-f1     dynamic   
  192.168.68.94         26-98-0d-16-d3-25     dynamic   
  192.168.68.95         50-c2-e8-3f-79-6f     dynamic   
  192.168.68.96         dc-46-28-ff-3d-8b     dynamic   
  192.168.68.97         82-7e-a4-8d-fa-1d     dynamic   
  192.168.68.107        98-43-fa-09-ea-a7     dynamic   
  192.168.68.109        58-02-05-bf-4f-64     dynamic   
  192.168.68.110        4a-28-eb-8a-5d-8a     dynamic   
  192.168.68.114        44-af-28-eb-e8-85     dynamic   
  192.168.68.119        bc-f4-d4-c0-dc-e5     dynamic   
  192.168.68.122        50-c2-e8-cd-5d-7d     dynamic   
  192.168.68.127        26-9e-94-eb-8d-ab     dynamic   
  192.168.68.130        ec-63-d7-cb-85-ae     dynamic   
  192.168.68.144        bc-0f-f3-33-09-b7     dynamic   
  192.168.71.255        ff-ff-ff-ff-ff-ff     static    
  224.0.0.2             01-00-5e-00-00-02     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  224.0.1.60            01-00-5e-00-01-3c     static    
  225.16.8.68           01-00-5e-10-08-44     static    
  225.24.4.64           01-00-5e-18-04-40     static    
  239.255.102.18        01-00-5e-7f-66-12     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
