"TimeCreated","Id","LevelDisplayName","Message"
"31-10-2025 06:50:08 PM","16","Information","The access history in hive \??\C:\Users\Dell\AppData\Local\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages."
"31-10-2025 06:50:08 PM","16","Information","The access history in hive \??\C:\Users\Dell\AppData\Local\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages."
"31-10-2025 06:49:52 PM","20003","Information","Driver Management has concluded the process to add Service WUDFWpdFs for Device Instance ID SWD\WPDBUSENUM\_??_USBSTOR#DISK&VEN_VENDORCO&PROD_PRODUCTCODE&REV_2.00#4140621173264166078&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B} with the following status: 0."
"31-10-2025 06:49:52 PM","7045","Information","A service was installed in the system.

Service Name:  WPD File System driver
Service File Name:  \SystemRoot\system32\DRIVERS\WUDFRd.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
"31-10-2025 06:49:52 PM","10100","Information","The driver package installation has succeeded."
"31-10-2025 06:49:52 PM","10001","Information","The UMDF service WpdFs (CLSID {112de495-ac4c-46f8-b663-6a4266c53313}) was installed.  It requires framework version 2.35.0 or higher."
"31-10-2025 06:49:52 PM","10000","Information","A driver package which uses user-mode driver framework version 2.35.0 is being installed on device SWD\WPDBUSENUM\_??_USBSTOR#DISK&VEN_VENDORCO&PROD_PRODUCTCODE&REV_2.00#4140621173264166078&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B}."
"31-10-2025 06:49:52 PM","24579","Information","Autoplay registration was skipped for device %1."
"31-10-2025 06:49:52 PM","24577","Information","Media player and imaging program compatibility layers were successfully registered for device %1. Layer bits %2 were requested, layer bits %3 were registered."
"31-10-2025 06:49:52 PM","24576","Information","Drivers were successfully installed for device WPD Device."
"31-10-2025 06:49:21 PM","15","Information","Hive \??\C:\WINDOWS\System32\SMI\Store\Machine\schema.dat was reorganized with a starting size of 15847424 bytes and an ending size of 10883072 bytes."
"31-10-2025 06:49:15 PM","566","Information","The system session has transitioned from 16 to 18.

Reason InputAccelerometer 

BootId: 351"
"31-10-2025 06:49:15 PM","507","Information","The system is exiting Modern Standby 

Reason: Input Keyboard."
"31-10-2025 06:34:48 PM","19","Information","Installation Successful: Windows successfully installed the following update: 9NMPJ99VJBWV-Microsoft.YourPhone"
"31-10-2025 06:34:47 PM","43","Information","Installation Started: Windows has started installing the following update: 9NMPJ99VJBWV-Microsoft.YourPhone"
"31-10-2025 06:34:46 PM","44","Information","Windows Update started downloading an update."
"31-10-2025 06:34:41 PM","44","Information","Windows Update started downloading an update."
"31-10-2025 06:00:43 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"31-10-2025 05:58:37 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFC00000220000002). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:36 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFC00000220000002). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:36 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000007). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:35 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000007). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:35 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFC00000220000001). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:35 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFC00000220000001). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:34 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000006). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:34 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000006). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:34 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000005). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:34 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000005). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:33 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000420000005). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:33 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000420000005). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:33 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000C20000003). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:33 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000C20000003). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:31 PM","114","Information","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000C20000002). Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"31-10-2025 05:58:31 PM","113","Information","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000C20000002). Status: 0x0. Process Id 0x2354 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
