"Name","DisplayName","Enabled","Action","Direction","Profile","Program"
"NETDIS-UPnPHost-Out-TCP","Network Discovery (UPnP-Out)","True","Allow","Outbound","Public",
"WFDPRINT-SPOOL-Out-Active","Wi-Fi Direct Spooler Use (Out)","True","Allow","Outbound","Public",
"RemoteAssistance-Out-TCP","Remote Assistance (TCP-Out)","False","Allow","Outbound","Public",
"NETDIS-SSDPSrv-Out-UDP-Active","Network Discovery (SSDP-Out)","True","Allow","Outbound","Private",
"NETDIS-WSDEVNT-Out-TCP-Active","Network Discovery (WSD Events-Out)","True","Allow","Outbound","Private",
"RemoteEventLogSvc-NP-In-TCP-NoScope","Remote Event Log Management (NP-In)","False","Allow","Inbound","Domain",
"RemoteTask-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC)","False","Allow","Inbound","Domain",
"WFDPRINT-SPOOL-In-Active","Wi-Fi Direct Spooler Use (In)","True","Allow","Inbound","Public",
"RemoteAssistance-Out-TCP-Active","Remote Assistance (TCP-Out)","True","Allow","Outbound","Domain, Private",
"MSDTC-Out-TCP","Distributed Transaction Coordinator (TCP-Out)","False","Allow","Outbound","Private, Public",
"RRAS-L2TP-Out-UDP","Routing and Remote Access (L2TP-Out)","False","Allow","Outbound","Any",
"CoreNet-ICMP6-PTB-Out","Core Networking - Packet Too Big (ICMPv6-Out)","True","Allow","Outbound","Any",
"CDPSvc-Out-UDP","Connected Devices Platform (UDP-Out)","True","Allow","Outbound","Domain, Private",
"PNRPMNRS-PNRP-In-UDP","Windows Collaboration Computer Name Registration Service (PNRP-In)","False","Allow","Inbound","Any",
"NETDIS-NB_Name-Out-UDP","Network Discovery (NB-Name-Out)","True","Allow","Outbound","Public",
"NETDIS-NB_Datagram-Out-UDP","Network Discovery (NB-Datagram-Out)","True","Allow","Outbound","Public",
"Collab-P2PHost-WSD-In-UDP","Windows Peer to Peer Collaboration Foundation (WSD-In)","False","Allow","Inbound","Any",
"RemoteEventLogSvc-In-TCP","Remote Event Log Management (RPC)","False","Allow","Inbound","Private, Public",
"CoreNet-IPv6-In","Core Networking - IPv6 (IPv6-In)","True","Allow","Inbound","Any",
