"DisplayName","DisplayVersion","Publisher","InstallDate","PSPath"
,,,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\WIC"
,"1.3.205.9",,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Edge Update"
,,,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\WIC"
,,,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager"
,,"Microsoft Corporation",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\mstsc-4b0a31aa-df6a-4307-9b47-d5cc50009643"
,,,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager"
"AnyDesk","ad 9.0.9","AnyDesk Software GmbH",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AnyDesk"
"Client Authentication Agent","2.0.1","Sophos",,"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Uninstall\Client Authentication Agent"
"Google Chrome","141.0.7390.123","Google LLC","20251024","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Google Chrome"
"Groww - Online Demat, Trading and Direct Mutual Fund Investment","1.0","Google\Chrome","20251009","Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Uninstall\8548b6631ab48dcbdbd709d26acbebf5"
"invideo AI","1.0","Google\Chrome","20250625","Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Uninstall\92162f631d5119350d61ca1b3579c0c9"
"Microsoft Edge","141.0.3537.99","Microsoft Corporation","20251025","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Edge"
"Microsoft Edge WebView2 Runtime","141.0.3537.99","Microsoft Corporation","20251025","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft EdgeWebView"
"Microsoft Office LTSC Professional Plus 2024 - en-us","16.0.19429.20002","Microsoft Corporation",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\ProPlus2024Volume - en-us"
"Microsoft OneDrive","25.212.1029.0001","Microsoft Corporation",,"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20241010","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{C6FD611E-7EFE-488C-A0E0-974C09EF6473}"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532","14.36.32532.0","Microsoft Corporation",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{8bdfe669-9705-4184-9368-db9ce581e0e7}"
