"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess","ProcessName"
"::","49670","::","0","Listen","1416","services"
"::1","49669","::","0","Listen","4160","jhi_service"
"::","49668","::","0","Listen","3756","spoolsv"
"::","49667","::","0","Listen","2892","svchost"
"::","49666","::","0","Listen","1672","svchost"
"::","49665","::","0","Listen","1296","wininit"
"::","49664","::","0","Listen","1448","lsass"
"::1","42050","::","0","Listen","17064","OneDrive.Sync.Service"
"::","7680","::","0","Listen","17716","svchost"
"::","7070","::","0","Listen","4052","AnyDesk"
"::","5357","::","0","Listen","4","System"
"::","445","::","0","Listen","4","System"
"::","135","::","0","Listen","1784","svchost"
"192.168.68.106","63379","13.89.179.9","443","Established","12172","FileCoAuth"
"192.168.68.106","63376","52.123.129.14","443","Established","11456","OfficeClickToRun"
"192.168.68.106","63373","52.98.59.18","443","Established","7636","explorer"
"192.168.68.106","63368","20.189.173.15","443","Established","10352","OneDrive"
"192.168.68.106","63357","20.192.44.82","443","Established","4708","PhoneExperienceHost"
"192.168.68.106","63352","20.192.44.82","443","Established","18772","CrossDeviceService"
"192.168.68.106","63335","163.70.143.61","5222","Established","5844","WhatsApp"
"192.168.68.106","62996","4.213.25.240","443","Established","10352","OneDrive"
"192.168.68.106","60015","57.155.141.117","443","Established","4228","MsMpEng"
"192.168.68.106","60007","57.150.129.65","443","Established","10352","OneDrive"
"192.168.68.106","60006","20.135.6.9","443","Established","10352","OneDrive"
"192.168.68.106","60003","52.182.143.210","443","Established","17064","OneDrive.Sync.Service"
"192.168.68.106","57496","192.168.68.80","7680","Established","17716","svchost"
"127.0.0.1","56250","0.0.0.0","0","Listen","17936","ChatGPT"
"192.168.68.106","55611","192.168.68.66","7680","Established","17716","svchost"
"192.168.68.106","55609","192.168.68.114","7680","Established","17716","svchost"
"192.168.68.106","53676","172.217.194.188","5228","Established","11436","chrome"
"192.168.68.106","52098","192.168.68.80","7680","Established","17716","svchost"
"192.168.68.106","51914","192.168.68.114","7680","Established","17716","svchost"
"127.0.0.1","49677","127.0.0.1","49676","Established","1728","WUDFHost"
"127.0.0.1","49676","127.0.0.1","49677","Established","1728","WUDFHost"
"192.168.68.106","49672","148.113.16.46","443","Established","4052","AnyDesk"
"0.0.0.0","49670","0.0.0.0","0","Listen","1416","services"
"0.0.0.0","49668","0.0.0.0","0","Listen","3756","spoolsv"
"0.0.0.0","49667","0.0.0.0","0","Listen","2892","svchost"
"0.0.0.0","49666","0.0.0.0","0","Listen","1672","svchost"
"0.0.0.0","49665","0.0.0.0","0","Listen","1296","wininit"
"0.0.0.0","49664","0.0.0.0","0","Listen","1448","lsass"
"192.168.68.106","49408","4.213.25.240","443","Established","4212","svchost"
"192.168.68.106","7680","192.168.68.80","52485","Established","17716","svchost"
"192.168.68.106","7680","192.168.68.95","58060","Established","17716","svchost"
"0.0.0.0","7070","0.0.0.0","0","Listen","4052","AnyDesk"
"0.0.0.0","5040","0.0.0.0","0","Listen","7080","svchost"
"192.168.68.106","139","0.0.0.0","0","Listen","4","System"
"0.0.0.0","135","0.0.0.0","0","Listen","1784","svchost"
