"Entry","Name","Type","TimeToLive","DataLength","Data"
"tunnel.googlezip.net","tunnel.googlezip.net","1","63661","4","216.239.34.157"
"onedrive.live.com","onedrive.live.com","5","55","8","odwebpl.trafficmanager.net.dual-spov-0006.spov-msedge.net"
"onedrive.live.com","odwebpl.trafficmanager.net.dual-spov-0006.spov-msedge.net","5","55","8","dual-spov-0006.spov-msedge.net"
"onedrive.live.com","dual-spov-0006.spov-msedge.net","1","55","4","13.107.139.11"
"onedrive.live.com","dual-spov-0006.spov-msedge.net","1","55","4","13.107.137.11"
"measurements-api.wonderpush.com","measurements-api.wonderpush.com","1","63729","4","34.36.166.45"
"signaler-pa.clients6.google.com","signaler-pa.clients6.google.com","1","61","4","142.251.220.74"
"prod-dynamite-prod-03-us-signaler-pa.clients6.google.com","prod-dynamite-prod-03-us-signaler-pa.clients6.google.com","1","195","4","142.250.195.74"
"onedriveclucproddm20028.blob.core.windows.net","onedriveclucproddm20028.blob.core.windows.net","5","25","8","blob.dsm14prdstr04c.store.core.windows.net"
"onedriveclucproddm20028.blob.core.windows.net","blob.dsm14prdstr04c.store.core.windows.net","1","25","4","57.150.129.65"
"dcg.microsoft.com","dcg.microsoft.com","5","64","8","dcg.microsoft.com.b-0005.b-msedge.net"
"dcg.microsoft.com","dcg.microsoft.com.b-0005.b-msedge.net","5","64","8","b-0005.b-msedge.net"
"dcg.microsoft.com","b-0005.b-msedge.net","1","64","4","13.107.6.158"
"signalrp2-relayhub-prod-as03-3.service.signalr.net","signalrp2-relayhub-prod-as03-3.service.signalr.net","1","326","4","20.192.44.82"
"graph.microsoft.com","graph.microsoft.com","5","63","8","ags.privatelink.msidentity.com"
"graph.microsoft.com","ags.privatelink.msidentity.com","5","63","8","www.tm.prd.ags.akadns.net"
"graph.microsoft.com","www.tm.prd.ags.akadns.net","1","63","4","20.190.175.152"
"graph.microsoft.com","www.tm.prd.ags.akadns.net","1","63","4","20.190.175.88"
"graph.microsoft.com","www.tm.prd.ags.akadns.net","1","63","4","20.190.175.24"
"accounts.google.com","accounts.google.com","1","61","4","142.251.10.84"
"login.live.com","login.live.com","1","63","4","20.190.146.34"
"login.live.com","login.live.com","1","63","4","20.190.146.37"
"login.live.com","login.live.com","1","63","4","20.190.146.35"
"login.live.com","login.live.com","1","63","4","20.190.146.38"
"login.live.com","login.live.com","1","63","4","20.190.146.39"
"login.live.com","login.live.com","1","63","4","40.126.18.32"
"login.live.com","login.live.com","1","63","4","20.190.146.32"
"login.live.com","login.live.com","1","63","4","40.126.18.33"
"deskofskycrawle","","28","0","0",
"signalrp2-relayhub-prod-as03-2.service.signalr.net","signalrp2-relayhub-prod-as03-2.service.signalr.net","1","196","4","20.192.44.82"
