"RegistryKey","Name","Value"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","RtkAudUService","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_04ff63d068f8c626\RtkAudUService64.exe"" -background"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","WavesSvc","""C:\WINDOWS\System32\DriverStore\FileRepository\wavesapo12de.inf_amd64_0dbb828df1dc4b7c\WavesSvc64.exe"" -Jack"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","MicrosoftEdgeAutoLaunch_B5BC174A7B4ABF98EC6D64B02610726A","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --win-session-start"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","OneDrive","""C:\Users\Dell\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Client Authentication Agent","""C:\Users\Dell\AppData\Local\Sophos\Client Authentication Agent\CAA.exe"" -a"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Microsoft.Lists","C:\Users\Dell\AppData\Local\Microsoft\OneDrive\25.212.1029.0001_1\OneDrive.Sync.Service.exe"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Adobe Acrobat Synchronizer","""C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\RunOnce","Delete Cached Update Binary","C:\WINDOWS\system32\cmd.exe /q /c del /q ""C:\Users\Dell\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\RunOnce","Delete Cached Standalone Update Binary","C:\WINDOWS\system32\cmd.exe /q /c del /q ""C:\Users\Dell\AppData\Local\Microsoft\OneDrive\StandaloneUpdater\OneDriveSetup.exe"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\RunOnce","Uninstall 25.212.1029.0001","C:\WINDOWS\system32\cmd.exe /q /c rmdir /s /q ""C:\Users\Dell\AppData\Local\Microsoft\OneDrive\25.212.1029.0001"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\RunOnce","Uninstall 25.210.1027.0001_1","C:\WINDOWS\system32\cmd.exe /q /c rmdir /s /q ""C:\Users\Dell\AppData\Local\Microsoft\OneDrive\25.210.1027.0001_1"""
