"Name","Length","LastWriteTime"
"136.0.7103.93_135.0.7049.115_-184C6F67.pf","25426","09-05-2025 07:52:43 PM"
"ACROBAT.EXE-F94F9B29.pf","55945","26-09-2025 07:37:49 PM"
"ACROBAT.EXE-F94F9B2A.pf","62652","26-09-2025 07:37:44 PM"
"AI.EXE-C5B0F666.pf","56880","31-10-2025 04:53:26 PM"
"AIMGR.EXE-1D997330.pf","19269","27-10-2025 04:44:30 PM"
"AIMGR.EXE-4B7499ED.pf","18444","31-10-2025 04:53:51 PM"
"AM_DELTA.EXE-78CA83B0.pf","2149","27-10-2025 11:26:17 AM"
"AM_DELTA_PATCH_1.439.479.0.EX-0811B8C1.pf","2161","28-10-2025 11:46:48 AM"
"AM_DELTA_PATCH_1.439.509.0.EX-00F940AB.pf","2203","28-10-2025 03:08:05 PM"
"AM_DELTA_PATCH_1.439.512.0.EX-50A128A5.pf","2151","28-10-2025 08:24:49 PM"
"AM_DELTA_PATCH_1.439.517.0.EX-D59EF4AE.pf","2163","29-10-2025 12:05:02 PM"
"AM_DELTA_PATCH_1.439.535.0.EX-80E97B1E.pf","2163","30-10-2025 12:41:10 PM"
"AM_DELTA_PATCH_1.439.558.0.EX-B131CD97.pf","2344","30-10-2025 07:29:43 PM"
"AM_DELTA_PATCH_1.439.568.0.EX-87D6A004.pf","2414","31-10-2025 11:46:23 AM"
"ANYDESK.EXE-DB935E04.pf","22955","31-10-2025 11:36:51 AM"
"APPACTIONS.EXE-1B86A9F9.pf","21970","30-10-2025 12:29:36 PM"
"APPACTIONS.EXE-B02F2028.pf","20253","31-10-2025 11:36:20 AM"
"APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf","29229","28-10-2025 03:03:54 PM"
"APPVSHNOTIFY.EXE-FB3C42F5.pf","7699","31-10-2025 03:20:31 PM"
"ARP.EXE-ED14DF84.pf","2813","31-10-2025 06:50:37 PM"
"ATBROKER.EXE-5CD29207.pf","3483","30-10-2025 07:15:48 PM"
"AUDIODG.EXE-AB22E9A6.pf","25584","31-10-2025 06:50:01 PM"
"BACKGROUNDTASKHOST.EXE-CAD1DF16.pf","15601","31-10-2025 06:49:16 PM"
"BACKGROUNDTASKHOST.EXE-E78045AC.pf","35111","30-10-2025 01:42:13 PM"
"BACKGROUNDTRANSFERHOST.EXE-E7B7D877.pf","9634","29-10-2025 11:54:48 AM"
"BDEUISRV.EXE-7BC33651.pf","4981","31-10-2025 06:49:58 PM"
"CAA.EXE-C1857254.pf","8613","31-10-2025 11:36:22 AM"
"CALCULATORAPP.EXE-562DD422.pf","56734","27-10-2025 02:15:30 PM"
"CEFSHARP.BROWSERSUBPROCESS.EX-32F5EC77.pf","37368","29-10-2025 01:43:36 PM"
"CEFSHARP.BROWSERSUBPROCESS.EX-32F5EC78.pf","21814","29-10-2025 01:43:24 PM"
"CEFSHARP.BROWSERSUBPROCESS.EX-32F5EC7E.pf","22863","29-10-2025 01:43:36 PM"
"CHATGPT.EXE-0140405B.pf","90228","28-10-2025 02:58:15 PM"
"CHATGPT.EXE-0140405C.pf","30161","31-10-2025 11:36:32 AM"
"CHATGPT.EXE-0140405D.pf","37122","28-10-2025 02:58:16 PM"
"CHATGPT.EXE-0140405F.pf","6533","28-10-2025 08:14:14 PM"
"CHATGPT.EXE-01404065.pf","22572","31-10-2025 11:38:29 AM"
"CHATGPT.EXE-01404066.pf","11761","28-10-2025 02:58:16 PM"
"CHATGPT.EXE-C856B3B5.pf","76098","17-09-2025 07:47:48 PM"
"CHCP.COM-2CF9B15C.pf","1868","28-10-2025 02:58:06 PM"
"CHOICE.EXE-42DD1650.pf","2938","29-10-2025 07:07:34 PM"
"CHOICE.EXE-78DC61EC.pf","2488","31-10-2025 06:50:10 PM"
"CHROME.EXE-AED7BA3C.pf","89176","31-10-2025 12:57:26 PM"
"CHROME.EXE-AED7BA3D.pf","56188","31-10-2025 02:29:41 PM"
"CHROME.EXE-AED7BA3E.pf","41740","31-10-2025 12:57:36 PM"
"CHROME.EXE-AED7BA40.pf","6661","31-10-2025 12:57:36 PM"
"CHROME.EXE-AED7BA45.pf","23732","31-10-2025 02:31:34 PM"
"CHROME.EXE-AED7BA46.pf","30585","31-10-2025 12:59:26 PM"
"CHROME.EXE-AED7BA47.pf","37369","31-10-2025 12:57:36 PM"
"CHROME.EXE-AED7BA48.pf","14272","31-10-2025 01:41:01 PM"
"CHROME.EXE-AED7BA49.pf","14214","31-10-2025 12:57:36 PM"
"CHROME.EXE-AED7BA4A.pf","28888","31-10-2025 05:58:43 PM"
"CMD.EXE-0BD30981.pf","9104","31-10-2025 06:50:24 PM"
"CMD.EXE-6D6290C5.pf","3001","29-10-2025 07:06:59 PM"
"CMDKEY.EXE-C46C56FE.pf","1878","31-10-2025 06:50:40 PM"
"COMPATTELRUNNER.EXE-B7A68ECC.pf","24818","30-10-2025 12:58:19 PM"
"COMPPKGSRV.EXE-4780F0C1.pf","6897","31-10-2025 01:54:48 PM"
"CONHOST.EXE-0C6456FB.pf","10147","31-10-2025 06:50:24 PM"
"CONSENT.EXE-40419367.pf","65969","31-10-2025 06:50:13 PM"
"COPILOT.EXE-5DA71183.pf","66877","29-10-2025 01:43:49 PM"
"CORTEXLAUNCHERSERVICE.EXE-CD3B1B13.pf","4750","29-10-2025 07:07:30 PM"
"CPTHOST.EXE-EDFC96D2.pf","43434","24-09-2025 05:57:18 PM"
"CREDENTIALUIBROKER.EXE-8CEDA3EB.pf","52610","30-10-2025 07:03:31 PM"
