"Name","DisplayName","Status","StartType"
"AarSvc_cb432","Agent Activation Runtime_cb432","Stopped","Manual"
"ADPSvc","ADPSvc","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AnyDesk","AnyDesk Service","Running","Automatic"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_cb432","GameDVR and Broadcast User Service_cb432","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BluetoothUserService_cb432","Bluetooth User Support Service_cb432","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual"
"BthAvctpSvc","AVCTP service","Stopped","Manual"
"bthserv","Bluetooth Support Service","Stopped","Manual"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_cb432","CaptureService_cb432","Stopped","Manual"
"cbdhsvc_cb432","Clipboard User Service_cb432","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_cb432","Connected Devices Platform User Service_cb432","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Client License Service (ClipSVC)","Running","Manual"
"CloudBackupRestoreSvc_cb432","Cloud Backup and Restore Service_cb432","Stopped","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_cb432","ConsentUX User Service_cb432","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_cb432","CredentialEnrollmentManagerUserSvc_cb432","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_cb432","DeviceAssociationBroker_cb432","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Automatic"
"DeviceInstall","Device Install Service","Running","Manual"
"DevicePickerUserSvc_cb432","DevicePicker_cb432","Stopped","Manual"
"DevicesFlowUserSvc_cb432","DevicesFlow_cb432","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Running","Automatic"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Stopped","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"fdPHost","Function Discovery Provider Host","Running","Automatic"
"FDResPub","Function Discovery Resource Publication","Running","Automatic"
"fhsvc","File History Service","Stopped","Manual"
"FontCache","Windows Font Cache Service","Running","Automatic"
"FrameServer","Windows Camera Frame Server","Stopped","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual"
"GameInputSvc","GameInput Service","Stopped","Manual"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual"
"GoogleUpdaterInternalService143.0.7482.0","Google Updater Internal Service (GoogleUpdaterInternalService143.0.7482.0)","Stopped","Automatic"
"GoogleUpdaterService143.0.7482.0","Google Updater Service (GoogleUpdaterService143.0.7482.0)","Stopped","Automatic"
"gpsvc","Group Policy Client","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
